cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
60,32,84,59,32,86,015910128
74,45,94,74,46,96,015910129
55,30,86,54,29,87,015910130
60,33,84,62,36,88,015910131
66,40,89,70,42,92,015910133
62,35,88,62,40,90,015910134
58,32,86,63,34,89,015910135
81,56,96,83,58,97,015910136
45,19,77,46,19,79,015910137
37,15,71,42,20,77,015910138
71,45,92,67,43,91,015910139
69,41,90,68,43,91,015910140
52,27,81,50,27,81,015910141
65,40,90,65,38,92,015910142
80,53,97,79,55,97,015910143
65,38,89,69,46,92,015910144
68,42,92,67,43,93,015910145
62,39,88,61,37,88,015910146
70,47,90,74,54,92,015910147
39,10,67,35,3,58,015911001
,,,,,,015911003
-1,-1,-1,-1,-1,-1,015911005
27,11,58,29,12,63,015911042
31,12,65,32,14,64,015911043
24,9,57,30,11,61,015911044
32,13,69,23,14,62,015911102
40,17,67,37,15,63,015911103
31,11,69,30,14,66,015911104
26,9,56,26,11,52,015911106
27,11,64,27,12,69,015911108
31,14,63,33,16,66,015911110
50,14,74,43,4,64,015912001
37,9,62,33,3,55,015912005
56,15,78,60,13,73,015912006
0,0,13,0,0,0,015912011
38,16,71,38,17,72,015912041
22,7,56,23,7,59,015912042
40,17,73,39,18,74,015912044
37,15,71,36,16,70,015912045
44,22,76,39,19,73,015912101
44,24,74,45,24,75,015912102
39,16,72,32,12,68,015912103
42,20,72,43,21,71,015912104
43,20,76,41,19,78,015912105
34,15,60,32,15,60,015912106
53,27,84,51,26,83,015912107
49,23,82,43,20,81,015912108
43,22,75,36,16,73,015912109
28,12,60,24,11,58,015912110
45,24,76,45,24,77,015912111
66,30,91,66,26,88,015913001
58,33,86,56,32,86,015913101
68,32,92,70,28,88,015914001
53,30,84,57,34,87,015914101
53,18,77,40,3,64,015915001
42,14,69,35,5,56,015915002
61,25,82,51,9,71,015915003
73,33,90,65,15,82,015915005
100,70,100,99,53,100,015915006
69,28,88,64,15,81,015915007
77,38,90,69,16,84,015915016
67,27,87,59,10,79,015915019
50,15,76,45,5,66,015915022
76,36,90,72,22,85,015915023
69,27,88,61,9,80,015915024
72,29,89,64,13,83,015915025
38,15,72,39,19,71,015915041
34,12,68,36,13,70,015915042
39,16,74,40,19,72,015915043
30,10,64,30,11,63,015915044
51,23,80,49,28,78,015915045
36,13,73,40,17,75,015915046
48,20,82,50,26,82,015915047
38,15,73,41,18,73,015915048
39,15,75,41,18,74,015915049
50,24,81,53,29,83,015915050
46,21,78,47,24,77,015915051
51,23,82,56,30,84,015915052
58,31,86,60,37,87,015915053
45,19,78,49,26,79,015915054
58,26,88,60,32,89,015915055
43,16,77,44,21,77,015915056
75,46,94,75,48,94,015915057
59,32,87,61,36,88,015915058
60,29,89,59,34,89,015915059
61,30,89,59,34,88,015915060
27,11,61,28,11,64,015915101
30,11,65,26,10,67,015915102
44,19,72,43,16,70,015915103
62,34,88,63,35,90,015915104
25,9,62,24,10,66,015915105
43,19,79,41,19,77,015915106
47,20,81,47,22,81,015915107
40,19,78,43,18,83,015915108
47,24,76,48,25,79,015915109
41,19,67,40,19,68,015915111
40,19,77,39,18,78,015915112
47,22,81,40,19,78,015915113
38,17,73,33,14,71,015915114
35,15,71,37,18,76,015915115
31,12,68,28,12,69,015915116
28,10,65,28,12,66,015915117
26,9,60,25,9,61,015915118
39,21,72,37,19,74,015915119
32,12,69,31,11,71,015915122
37,13,70,34,10,69,015915123
33,16,65,33,17,67,015915124
36,14,68,38,17,69,015915125
31,12,69,30,11,68,015915128
46,22,77,46,25,79,015915130
48,24,78,46,19,77,015915131
44,21,78,46,24,79,015915132
51,25,78,50,25,82,015915134
33,14,70,32,16,72,015915135
45,22,77,43,22,75,015915136
46,25,77,41,22,79,015915138
49,25,81,52,27,81,015915141
56,35,82,54,35,82,015915143
48,23,78,46,24,78,015915144
43,19,75,47,21,80,015915145
47,25,79,48,26,82,015915148
